trail_id|score_id|score|score_date|score_link
75|75|4|11/22/2018|https://www.google.com/search?rlz=1C5CHFA_enUS761US761&q=North+Star+Greenbelt&stick=H4sIAAAAAAAAAONgecSYzS3w8sc9YamkSWtOXmOM4eIKzsgvd80rySypFPLjYoOylLgEpHj00_UNDeOLKioKUqo0GKT4uFBEpBSUuHh5jsgKiSpNOHJUS4jTdGWYHvsZlzbB-KPrvyg5Z6rwAABHcfNKcAAAAA&sa=X&ved=2ahUKEwjsz7XHsYvfAhUSbawKHQrgC2cQ6RMwEXoECAcQBA&biw=1440&bih=789#lrd=0x8644cc072e56a935:0x24694322f4afc55f,1,,,
76|76|5|12/5/2018|https://www.google.com/search?rlz=1C5CHFA_enUS761US761&q=Northwest+Balcones+Park&stick=H4sIAAAAAAAAAONgecSYzi3w8sc9Yam4SWtOXmOM4OIKzsgvd80rySypFPLiYoOy5Lj4pLj0c_UNTI3Kk4zNNBikeLiQ-FIKSly8fDuUhER9Vmw5qiXE2XrqDbuKcXSb4K6dwZNeG4tl8wAAZrsYy2wAAAA&sa=X&ved=2ahUKEwi4h4DdsYvfAhVNvKwKHfL0ClIQ6RMwDHoECAcQBA&biw=1440&bih=789#lrd=0x865b332407ecca85:0x6b1633eb9253b9ba,1,,,
77|77|||
78|78|4|10/21/2018|https://www.google.com/search?rlz=1C5CHFA_enUS761US761&q=Oakview+Neighborhood+Park&stick=H4sIAAAAAAAAAONgecSYyS3w8sc9YamESWtOXmOM4uIKzsgvd80rySypFPLhYoOyFLj4pbj10_UNS1LMinPTzTUYpHi5kAWkFJS4eLuiFYVEG-bsPKolxJk4X2jVsTMubYIM751EP58Ul-QBAF0r83huAAAA&sa=X&ved=2ahUKEwjA56SCsovfAhUqgK0KHeAdCgIQ6RMwEHoECAcQBA&biw=1440&bih=789
79|79|3|12/3/2018|https://www.google.com/search?q=Odom+School+Park+Track&rlz=1C5CHFA_enUS761US761&oq=Odom+School+Park+Track&aqs=chrome..69i57.3098j0j9&sourceid=chrome&ie=UTF-8
80|80|4|12/2/2018|https://www.google.com/search?rlz=1C5CHFA_enUS761US761&q=Onion+Creek+Greenbelt&stick=H4sIAAAAAAAAAONgecSYzS3w8sc9YamkSWtOXmOM4eIKzsgvd80rySypFPLjYoOylLgEpHj00_UNC0oqk0yqTOI1GKT4uFBEpBSUuHgDwn8Liopw7zmqJcS5VrhxE-tmlzbBf3POql998moCDwApBu_YcAAAAA&sa=X&ved=2ahUKEwiMqNCysovfAhUMYK0KHZzpAj8Q6RMwDHoECAcQBA&biw=1440&bih=789
81|81|4|11/4/2018|https://www.google.com/search?rlz=1C5CHFA_enUS761US761&q=Ortega+School+Park&stick=H4sIAAAAAAAAAONgecSYzS3w8sc9YamkSWtOXmOM4eIKzsgvd80rySypFPLjYoOylLgEpHj00_UNDY3TzDNS4tM1GKT4uFBEpBSUuHjvHOUSEl2z-dhRLSHOSPH2ovxtLm2CWg_Z8udUL7vMAwD2v8PFcAAAAA&sa=X&ved=2ahUKEwiCvvTGsovfAhVKJKwKHe_ECeYQ6RMwEHoECAgQBA&biw=1440&bih=789
82|82|4|11/30/2018|https://www.google.com/search?q=Parque+Zaragoza+Neighborhood+Park+Trail&rlz=1C5CHFA_enUS761US761&oq=Parque+Zaragoza+Neighborhood+Park+Trail&aqs=chrome..69i57.382j0j9&sourceid=chrome&ie=UTF-8
83|83|4|12/3/2018|https://www.google.com/search?rlz=1C5CHFA_enUS761US761&q=Patterson+Neighborhood+Park&stick=H4sIAAAAAAAAAONgecSYzi3w8sc9Yam4SWtOXmOM4OIKzsgvd80rySypFPLiYoOy5Lj4pLj0c_UNTI3Kk0xMNBikeLiQ-FIKSly8EZf4hESn7Tx0VEuI8-Oz8y7ft7q0CRqsdGTq_bi_jQcAyBpvImwAAAA&sa=X&ved=2ahUKEwiMs4HtsovfAhUGKa0KHbznBh0Q6RMwDHoECAYQBA&biw=1440&bih=789
84|84|3|11/10/2018|https://www.google.com/search?rlz=1C5CHFA_enUS761US761&q=Payton+Gin+Pocket+Park&stick=H4sIAAAAAAAAAONgecSYyS3w8sc9YamESWtOXmOM4uIKzsgvd80rySypFPLhYoOyFLj4pbj10_UNS7LNLIwMLTQYpHi5kAWkFJS4eNebSwiJzuQ-clRLiPOh1P0J10-7tAm6_1xp9TWKcyEPADzz1yRuAAAA&sa=X&ved=2ahUKEwia9v3-sovfAhUSEqwKHeLaDosQ6RMwD3oECAYQBA&biw=1440&bih=789
85|85|4|12/4/2018|https://www.google.com/search?rlz=1C5CHFA_enUS761US761&q=Peace+Point+at+Town+Lake+Metropolitan+Park&stick=H4sIAAAAAAAAAONgecSYzS3w8sc9YamkSWtOXmOM4eIKzsgvd80rySypFPLjYoOylLgEpHj00_UNDeMLCwyrLM01GKT4uFBEpBSUuHitBNmFRGXmHziqJcTZXsv-wWOLS5tghsy-_9OsjXp4AMD0FV5wAAAA&sa=X&ved=2ahUKEwj7zYScs4vfAhVQY6wKHWyNCPgQ6RMwEXoECAkQBA&biw=1440&bih=789
86|86|||
87|87|3|11/29/2018|https://www.google.com/search?rlz=1C5CHFA_enUS761US761&q=Perry+Playground&stick=H4sIAAAAAAAAAONgecSYzi3w8sc9Yam4SWtOXmOM4OIKzsgvd80rySypFPLiYoOy5Lj4pLj0c_UNTI3Kk0ySNBikeLiQ-FIKSly8Uk4iQqLfbu46qiXEGSs2I-XFKZc2wQ8zNd5r_LpYwgMAxQlPfWwAAAA&sa=X&ved=2ahUKEwipr6y3s4vfAhULHqwKHY4pDHsQ6RMwD3oECAYQBA&biw=1440&bih=789
88|88|4|12/3/2018|https://www.google.com/search?rlz=1C5CHFA_enUS761US761&q=Pillow+School+Park&stick=H4sIAAAAAAAAAONgecSYyS3w8sc9YamESWtOXmOM4uIKzsgvd80rySypFPLhYoOyFLj4pbj10_UNS5Kr0izKUjQYpHi5kAWkFJS4eLMeSQqJJvzYd1RLiLMw_xjPjNMubYJOBhN_pUw7XccDAPI1CWFuAAAA&sa=X&ved=2ahUKEwi2w7fPs4vfAhUJWK0KHUmkBukQ6RMwD3oECAgQBA&biw=1440&bih=789
