park_id|park_name|address
299|Swede Hill Pocket Park|907 E 14th St., Austin, Texas 78702
300|Symphony Square|1101 Red River St., Austin, Texas 78701
301|T.A. Brown Neighborhood Park|520 Northway Dr., Austin, Texas 78752
302|Tahoe Trail Pocket Park|5205 Tahoe Trl., Austin, Texas 78745
303|Tanglewood Neighborhood Park|11409 Rustic Rock Rd., Austin, Texas 78750
304|Tannehill Branch Greenbelt|2403 E 51st St., Austin, Texas 78723
305|Tarrytown Neighborhood Park|2106 Tower Dr., Austin, Texas 78703
306|The Circle Greenbelt|1300 The Circle, Austin, Texas 78704
307|The War Memorial*|Colorado St. and W 11 St., Austin, Texas 78701
308|Tom Lasseter-South Lamar Neighborhood Park|3000 Del Curto Rd., Austin, Texas 78704
309|Trailhead Neighborhood Park|10984 Boulder Ln., Austin, Texas 78726
310|Triangle Commons Neighborhood Park|722 W 46th St., Austin, Texas 78751
311|Umlauf Sculpture Garden|605 Robert E Lee Rd., Austin, Texas 78704
312|Upper Bull Creek Greenbelt|7800 Spicewood Springs Rd., Austin, Texas 78759
313|Veterans Pocket Park|2200 Veterans Dr., Austin, Texas 78703
314|Vic Mathias Shores at Town Lake Metro Park|700 W Riverside Dr., Austin, Texas 78704
315|Waller Beach at Town Lake Metropolitan Park|30 East Ave., Austin, Texas 78701
316|Waller Creek Greenbelt|703 E 6th St., Austin, Texas 78701
317|Waller Creek Greenbelt Easement 1*|500 Blk of E Cesar Chavez St., Austin, Texas 78701
318|Waller Creek Greenbelt Easement 2*|500 Blk of E Cesar Chavez St., Austin, Texas 78701
319|Waller Creek Greenbelt Easement 3*|507 Willow St., Austin, Texas 78701
320|Waller Creek Greenbelt Easement 4*|500 Blk of E Cesar Chavez St., Austin, Texas 78701
321|Waller Creek Greenbelt Easement 5*|500 Blk of E Cesar Chavez St., Austin, Texas 78701
322|Walnut Creek Metropolitan Park|12138 N Lamar Blvd, Austin, Texas 78758
323|Walnut Creek Metro Extension*|12017 Lincolnshire Dr., Austin, Texas 78758
324|Walnut Creek Sports Park|7800 Johnny Morris Rd., Austin, Texas 78724
325|Walsh Boat Landing|1600 Scenic Dr., Austin, Texas 78703
326|Walter E. Long Metropolitan Park**|6620 Blue Bluff Rd., Austin, Texas 78724
327|Waterloo Neighborhood Park|500 E 12th St., Austin, Texas 78701
328|Wells Creek Greenbelt|13120 Metric Blvd., Austin, Texas 78727
329|West Austin Neighborhood Park|1317 W 10th St., Austin, Texas 78703
330|West Bouldin Creek Greenbelt|1200 S 6th St., Austin, Texas 78704
331|Westcreek Pocket Park|6044 Westcreek Dr., Austin, Texas 78749
332|Westenfield Neighborhood Park|2008 Enfield Rd., Austin, Texas 78703
333|Williams School Park|605 Blue Valley Dr., Austin, Texas 78748
334|Williamson Creek Central Greenbelt|5120 S 1st St., Austin, Texas 78745
335|Williamson Creek Central Greenbelt Easement*|300 Ramble Ln., Austin, Texas 78745
336|Williamson Creek East Greenbelt|4618 E William Cannon Dr., Austin, Texas 78744
337|Williamson Creek East Greenbelt Easement*|2400 E William Cannon Dr., Austin, Texas 78744
338|Williamson Creek West Greenbelt|6310 Brush Country Rd., Austin, Texas 78749
339|Williamson Creek West Greenbelt Easement 1*|3900 Ben Garza Ln., Austin, Texas 78749
340|Williamson Creek West Greenbelt Easement 2*|3900 Ben Garza Ln., Austin, Texas 78749
341|Williamson Creek West Greenbelt Easement 3*|3817 Pecana Trl., Austin, Texas 78749
342|Wooldridge School Park|1410 Norseman Ter., Austin, Texas 78758
343|Wooldridge Square|900 Guadalupe St., Austin, Texas 78701
344|Wooten Neighborhood Park|1500 Dale Dr., Austin, Texas 78757
345|Wunneburger Neighborhood Park|11901 Old San Antonio Rd., Austin, Texas 78652
346|Yates Pocket Park|6015 Felix Ave., Austin, Texas 78741
347|Yett Creek Neighborhood Park|12538 Riata Vista Cir., Austin, Texas 78727
348|Zilker Metropolitan Park|2100 Barton Springs Rd., Austin, Texas 78746
349|Zilker Nature Preserve|301 Nature Center Dr., Austin, Texas 78746
